id;name;capacity;capacity_electric;capacity_women;capacity_disabled;opening_times_mo-th;opening_times_fr;opening_times_sa;opening_times_su;height;price_per_30_minutes;price_until_30_minutes;price_1st_hour;price_2nd_hour;price_per_hour;price_per_day;night_price_per_hour(20-8);night_price_max;su_price_30_minutes;su_price_day;website;lat;lon;address
1;PH Theater;793;0;46;10;07:00 - 24:00;07:00 - 24:00;09:00 - 24:00;09:00 - 24:00;2;;;2;2;1,5;15;1;5;;;https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php;51,965812;7,626812;Tibusstraße 18, 48143 Münster, Germany
2;PP Hörsterplatz;202;0;;0;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;12:00 - 21:00;999;1;;;;;20;;;1;18;https://www.westfalenfleiss.de/standorte-parkpl%C3%A4tze.html;51,964437;7,632062;Ritterstraße 38, 48143 Münster, Germany
3;PH Alter Steinweg;390;2;0;4;00:00 - 24:00;00:00 - 24:00;00:00 - 24:00;00:00 - 24:00;2,1;;;2;2;1,5;15;1;5;;;https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php;51,961938;7,631813;Alter Steinweg 21, 48143 Münster, Germany
4;Busparkplatz;78;0;;0;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;;999;0,6;;;;;12;;;4;4;https://www.westfalenfleiss.de/standorte-parkpl%C3%A4tze.html;51,965688;7,616812;Schlossplatz 24-26, 48143 Münster, Germany
5;PP Schlossplatz Nord;450;0;;0;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;;999;0,6;;;;;12;;;4;4;https://www.westfalenfleiss.de/standorte-parkpl%C3%A4tze.html;51,964437;7,616938;Schlossplatz, 48149 Münster, Germany
6;PP Schlossplatz Süd;450;0;;0;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;;999;0,6;;;;;12;;;4;4;https://www.westfalenfleiss.de/standorte-parkpl%C3%A4tze.html;51,962688;7,617313;Schlossplatz 1, 48143 Münster, Germany
7;PH Aegidii;780;0;46;4;07:00 - 24:00;07:00 - 24:00;07:00 - 24:00;;1,9;;;2;2;1,5;15;1;5;;;https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php;51,960840;7,622580;Aegidiimarkt 1-7, 48143 Münster, Germany
8;PP Georgskommende;272;0;;;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;;999;1;;;;;20;;;;;https://www.westfalenfleiss.de/standorte-parkpl%C3%A4tze.html;51,959437;7,619438;Georgskommende, 48143 Münster, Germany
9;PH Münster Arkaden;250;1;0;2;08:00 - 23:00;08:00 - 23:00;08:00 - 23:00;10:00 - 23:00;2,4;;;2;2;1,5;15;;;;;https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php;51,959812;7,626313;Ludgeristraße 100, 48143 Münster, Germany
10;PH Karstadt;183;0;;yes;07:30 - 20:30;07:30 - 20:30;07:30 - 20:30;;2,1;;;;;2;20;;;;;https://www.galeria.de/on/demandware.store/Sites-Galeria-Site/de/Stores-Details?StoreID=001174;51,960812;7,630062;Salzstraße 47, 48143 Münster, Germany
11;PH Stubengasse;318;0;0;4;07:00 - 24:00;07:00 - 24:00;07:00 - 24:00;;2,1;;;2;2;1,5;15;;;;;https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php;51,959812;7,630187;Loerstraße 16, 48143 Münster, Germany
12;PH Bremer Platz;416;0;0;8;00:00 - 24:00;00:00 - 24:00;00:00 - 24:00;00:00 - 24:00;2;;1;1,5;1,5;1;10;0,5;3;;;https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php;51,957563;7,637812;Bremer Pl. 44, 48155 Münster, Germany
13;PH Engelenschanze;480;2;0;6;07:00 - 24:00;07:00 - 01:00;07:00 - 01:00;07:00 - 24:00;2,1;;;2;2;1,5;15;1;5;;;https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php;51,955813;7,631312;Engelstraße 49, 48143 Münster, Germany
14;PH Bahnhofstraße;339;0;0;10;06:00 - 24:00;06:00 - 01:00;06:00 - 01:00;06:00 - 24:00;2;;1;1,5;1,5;1;10;0,5;3;;;https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php;51,955562;7,632938;Von-Steuben-Straße 9, 48143 Münster, Germany
15;PH Cineplex;590;0;;yes;00:00 - 24:00;00:00 - 24:00;00:00 - 24:00;00:00 - 24:00;2;;;;;1;4;;;;;https://www.stadt-muenster.de/tiefbauamt/parkleitsystem/detailseite/parkhaeuser/detailansicht/parkhaus/15;51,949687;7,636313;Lippstädter Str. 1, 48155 Münster, Germany
16;PH Stadthaus 3;372;10;;4;00:00 - 24:00;00:00 - 24:00;00:00 - 24:00;00:00 - 24:00;2,1;;;0,5;0,5;;4;;;;;https://www.stadt-muenster.de/tiefbauamt/parkleitsystem/detailseite/parkhaeuser/detailansicht/parkhaus/16;51,949188;7,639812;Kiesekamps Mühle 1, Münster, Germany
